,Unnamed: 0,FUND,CNT,SRC_UID,EOM
16014,16014,Orcinus orca,191,108202450315,2020-01-31
16015,16015,Macaca mulatta,419,108207596093,2020-01-31
16016,16016,Isoodon obesulus,1009,189669356346606,2020-01-31
16017,16017,Canis aureus,989,206670716,2020-01-31
16018,16018,Milvus migrans,779,275505523,2020-01-31
16022,16022,Dendrocitta vagabunda,9,206670760,2020-01-31
16026,16026,Tamandua tetradactyla,541,301519260,2020-01-31
16027,16027,Charadrius tricollaris,458,189669305873243,2020-01-31
16028,16028,Haematopus ater,1751,38679964783,2020-01-31
16029,16029,unavailable,9,206670773,2020-01-31
16031,16031,Ourebia ourebi,3016,206670693,2020-01-31
16032,16032,Spilogale gracilis,2293,186759829869822,2020-01-31
16033,16033,Ephippiorhynchus mycteria,649,52079200642,2020-01-31
16037,16037,Bassariscus astutus,3289,1134069654772,2020-01-31
16038,16038,Melursus ursinus,965,186761292782742,2020-01-31
16040,16040,Butorides striatus,1394,28283084613,2020-01-31
16041,16041,Actophilornis africanus,3060,272675524722,2020-01-31
16042,16042,Oreamnos americanus,726,188703116701652,2020-01-31
16043,16043,Lorythaixoides concolor,1729,206670771,2020-01-31
16044,16044,Amphibolurus barbatus,1299,1489764652,2020-01-31
16046,16046,Himantopus himantopus,3078,206670686,2020-01-31
16047,16047,Cabassous sp.,2048,206670692,2020-01-31
16048,16048,Alligator mississippiensis,5,206670813,2020-01-31
16049,16049,Macaca fuscata,962,188803777670426,2020-01-31
16050,16050,Laniaurius atrococcineus,493,40234253942,2020-01-31
16051,16051,Alouatta seniculus,523,40234001221,2020-01-31
16052,16052,Isoodon obesulus,22,189669356346606,2020-01-31
16054,16054,Chloephaga melanoptera,2725,573917296406,2020-01-31
16055,16055,Trachyphonus vaillantii,262,898428021820,2020-01-31
16057,16057,Laniaurius atrococcineus,185,40234253942,2020-01-31
16058,16058,Hystrix indica,126,189395860675734,2020-01-31
16060,16060,Vanellus sp.,778,194309785360951,2020-01-31
16061,16061,Lycosa godeffroyi,1328,880886802006,2020-01-31
16062,16062,Dasyurus viverrinus,10,206670754,2020-01-31
16064,16064,Columba palumbus,1106,1489765858,2020-01-31
16065,16065,Deroptyus accipitrinus,1536,1676124906944,2020-01-31
16066,16066,Dendrocitta vagabunda,298,206670760,2020-01-31
16067,16067,Anthropoides paradisea,407,880923451687,2020-01-31
16070,16070,Phascogale calura,144,206670732,2020-01-31
16071,16071,Canis mesomelas,2735,105401395916,2020-01-31
16073,16073,Upupa epops,1837,203221423898215,2020-01-31
16074,16074,Spermophilus lateralis,710,188703129863464,2020-01-31
16075,16075,Tyto novaehollandiae,1340,638750702637,2020-01-31
16076,16076,Geococcyx californianus,2854,207934051132,2020-01-31
16077,16077,Choloepus hoffmani,551,186267307833917,2020-01-31
