,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU,PSU_SCORE
1832,613346505712,31.08.2019,0.5764,AUSTRALIA,Australia,2.0
1833,55902523917,31.08.2019,0.3201,CHINA,China,2.0
1834,269297001426,31.10.2012,0.9042,U.S.A.,US,2.0
1835,63446153971,31.10.2012,0.2135,U.S.A.,US,2.0
1836,1489765858,31.10.2012,0.6348,AUSTRALIA,Australia,1.0
1837,186494805556422,31.10.2012,0.191,GERMANY,Eurozone,2.0
1838,186761292782742,30.09.2012,0.2617,FRANCE,Eurozone,2.0
1839,1540205570554,30.09.2012,0.2617,FRANCE,Eurozone,2.0
1840,186711785308213,31.10.2012,0.344,U.S.A.,US,2.0
1841,105401395916,30.09.2012,0.408,U.S.A.,US,2.0
1842,105401395916,31.12.2019,0.4555,U.S.A.,US,4.0
1843,413976258580,30.04.2012,0.547,U.S.A.,US,4.0
1844,188703102004066,30.04.2012,0.997,BRAZIL,Latin America,1.0
1845,323418458,30.04.2012,0.141,FRANCE,Eurozone,4.0
1846,880886802006,30.04.2012,0.387,U.S.A.,US,4.0
1847,188703124648158,30.04.2012,0.37200000000000005,CHINA,China,3.0
1848,203221423898215,31.12.2019,0.6777,U.S.A.,US,4.0
1849,656760542396,31.12.2019,0.4594,U.S.A.,US,4.0
1850,188703112484212,30.04.2012,0.621,BRAZIL,Latin America,1.0
1851,1489765858,31.01.2013,0.6329,AUSTRALIA,Australia,2.0
1852,272675524722,31.01.2013,0.5176,U.S.A.,US,2.0
1853,28283084613,31.01.2013,0.4572,CHINA,China,2.0
1854,206670698,28.02.2013,0.1733,ITALY,Eurozone,3.0
1855,108218596431,28.02.2013,0.1733,ITALY,Eurozone,3.0
1856,181989439245,28.02.2013,0.7312,FRANCE,Eurozone,3.0
1857,38326395382,28.02.2013,0.5704,U.S.A.,US,3.0
1858,1451747082532,28.02.2013,0.5704,U.S.A.,US,3.0
1859,301519260,28.02.2013,0.2834,U.S.A.,US,3.0
1860,460145818838,28.02.2013,0.2834,U.S.A.,US,3.0
1861,186267307833917,31.08.2019,0.2369,ITALY,Eurozone,3.0
1862,206670698,31.08.2019,0.1482,FRANCE,Eurozone,3.0
1863,1134069654772,31.10.2011,0.46399999999999997,U.S.A.,US,4.0
1864,63446153971,30.11.2011,0.221,INDIA,Emerging Asia (ex-China),3.0
1865,656760542396,31.10.2011,0.475,U.S.A.,US,4.0
1866,188703102004066,31.10.2011,0.9990000000000001,BRAZIL,Latin America,1.0
1867,189669396589741,31.07.2012,0.149,CHINA,China,3.0
1868,187875659113037,31.07.2012,0.406,U.S.A.,US,4.0
1869,1489765858,31.07.2012,0.637,AUSTRALIA,Australia,3.0
1870,55902523917,31.07.2012,0.17,CHINA,China,3.0
1871,108392362467,30.11.2012,0.2377,ITALY,Eurozone,2.0
1872,369592842106,30.06.2013,0.5629,U.S.A.,US,3.0
1873,188703129863464,30.06.2013,0.9916,RUSSIA,World,3.0
1874,63446153971,31.01.2012,0.203,INDIA,Emerging Asia (ex-China),3.0
1875,206670694,31.01.2012,0.539,U.S.A.,US,4.0
1876,206670693,31.01.2012,0.067,BRAZIL,Latin America,1.0
1877,207934051132,31.01.2012,0.7240000000000001,U.S.A.,US,4.0
1878,206670715,31.01.2012,0.188,CHINA,China,3.0
1879,206670716,31.01.2012,0.35100000000000003,UNITED KINGDOM,UK,3.0
1880,206670764,31.08.2012,0.596,RUSSIA,World,2.0
1881,1461078666,31.08.2012,0.261,UNITED KINGDOM,UK,2.0
1882,437983596250,31.01.2012,0.943,SWITZERLAND,Switzerland,3.0
1883,1134069654772,31.01.2012,0.48,U.S.A.,US,4.0
1884,269287883541,31.01.2012,1.0,JAPAN,Japan,4.0
1885,1521081543045,31.01.2012,0.298,KUWAIT,EMEA,2.0
1886,188703129863464,31.08.2019,0.9990000000000001,RUSSIA,World,2.0
1887,269297001426,31.08.2019,0.9423,U.S.A.,US,2.0
1888,638750702637,31.05.2013,0.9432,RUSSIA,World,3.0
1889,206670694,31.05.2013,0.6042,U.S.A.,US,3.0
1890,28283084613,31.12.2011,0.539,CHINA,China,3.0
1891,28283084613,31.05.2013,0.3996,CHINA,China,2.0
1892,413976258580,31.05.2013,0.5596,U.S.A.,US,3.0
1893,206670716,31.05.2013,0.3307,UNITED KINGDOM,UK,2.0
1894,1489765858,31.08.2019,0.5762,AUSTRALIA,Australia,2.0
1895,275505523,31.05.2013,0.3181,UNITED KINGDOM,UK,2.0
1896,656760542396,31.05.2013,0.498,U.S.A.,US,3.0
1897,206670715,31.05.2013,0.1725,CHINA,China,2.0
1898,413976258580,31.08.2019,0.6506,U.S.A.,US,2.0
1899,254149308420,30.09.2012,0.183,BRAZIL,Latin America,1.0
1900,369592842106,31.08.2019,0.6509999999999999,U.S.A.,US,2.0
1901,275505523,30.04.2012,0.285,UNITED KINGDOM,UK,3.0
1902,216437580763800,31.12.2019,0.1957,GERMANY,Eurozone,3.0
1903,186614022288995,30.04.2012,0.563,CHINA,China,3.0
1904,207934051132,30.09.2012,0.595,U.S.A.,US,2.0
1905,195667467951412,31.12.2019,0.177,GERMANY,Eurozone,3.0
1906,196842445088146,31.12.2019,0.6505,U.S.A.,US,4.0
1907,196843241101444,31.12.2019,0.6503,U.S.A.,US,4.0
1908,438677176,31.12.2019,0.7479,SWITZERLAND,Switzerland,3.0
1909,323418458,31.12.2019,0.1384,FRANCE,Eurozone,3.0
1910,40232932742,31.12.2019,0.7506,SWITZERLAND,Switzerland,3.0
1911,126094514515,31.12.2019,0.8207,SWITZERLAND,Switzerland,3.0
1912,36740368922,31.12.2019,0.7491,SWITZERLAND,Switzerland,3.0
1913,186494805556422,31.01.2013,0.162,FRANCE,Eurozone,2.0
1914,92221420384,31.01.2013,0.45299999999999996,U.S.A.,US,2.0
1915,27160283895,31.12.2019,0.2528,ITALY,Eurozone,3.0
1916,369592842106,31.12.2019,0.6505,U.S.A.,US,4.0
1917,413976258580,31.10.2011,0.526,U.S.A.,US,4.0
1918,613346505712,31.10.2011,0.6559999999999999,AUSTRALIA,Australia,2.0
1919,187744333580016,30.11.2011,0.171,FRANCE,Eurozone,1.0
1920,438677131,31.10.2011,0.473,U.S.A.,US,4.0
1921,28283084613,31.12.2012,0.455,CHINA,China,1.0
1922,182009288255,31.12.2012,0.3163,FRANCE,Eurozone,2.0
1923,206670723,31.12.2012,0.44299999999999995,U.S.A.,US,2.0
1924,188703120510450,31.12.2012,0.9697,CHINA,China,1.0
1925,205119942384,31.12.2012,0.7357,FRANCE,Eurozone,2.0
1926,189669356346606,31.08.2012,0.188,BRAZIL,Latin America,1.0
1927,63446153971,31.07.2012,0.23199999999999998,U.S.A.,US,4.0
1928,108392384369,30.04.2012,0.064,BRAZIL,Latin America,1.0
1929,181989439245,31.05.2013,0.7297,FRANCE,Eurozone,3.0
1930,205119942384,31.05.2013,0.7297,FRANCE,Eurozone,3.0
1931,301519260,31.05.2013,0.2977,U.S.A.,US,3.0
1932,460145818838,31.05.2013,0.2977,U.S.A.,US,3.0
1933,206670693,31.05.2013,0.0795,PHILIPPINES,Emerging Asia (ex-China),2.0
1934,108392384369,31.05.2013,0.0795,PHILIPPINES,Emerging Asia (ex-China),2.0
1935,206670698,31.05.2013,0.1656,ITALY,Eurozone,3.0
1936,269297001426,30.11.2012,0.905,U.S.A.,US,2.0
1937,196842445088146,31.08.2019,0.6501,U.S.A.,US,2.0
1938,196843241101444,31.08.2019,0.6505,U.S.A.,US,2.0
1939,188803777670426,30.06.2012,0.042,SAUDI ARABIA,EMEA,3.0
1940,103848517578,30.06.2012,0.385,U.S.A.,US,4.0
1941,159639695489,30.06.2012,0.447,U.S.A.,US,4.0
1942,188703120510450,31.05.2012,0.9540000000000001,CHINA,China,3.0
1943,206670727,31.05.2012,0.34299999999999997,UNITED KINGDOM,UK,3.0
1944,1477794168859,31.05.2012,0.175,CHINA,China,3.0
1945,92221420384,31.05.2012,0.389,U.S.A.,US,4.0
1946,755274358166,31.12.2019,0.3845,GERMANY,Eurozone,3.0
1947,737766433094,31.12.2019,0.3618,SWITZERLAND,Switzerland,3.0
1948,193339234544861,28.02.2013,0.14800000000000002,RUSSIA,World,3.0
1949,103848517578,31.01.2013,0.462,U.S.A.,US,2.0
1950,186614022288995,31.01.2013,0.38299999999999995,CHINA,China,2.0
1951,192291882972375,28.02.2013,0.14800000000000002,RUSSIA,World,3.0
1952,188703129863464,31.10.2011,0.9890000000000001,RUSSIA,World,2.0
1953,186759829869822,31.10.2011,0.40700000000000003,U.S.A.,US,4.0
1954,117163705630,31.10.2011,0.47,U.S.A.,US,4.0
1955,92221420384,31.10.2011,0.34600000000000003,U.S.A.,US,4.0
1956,63446153971,31.10.2011,0.22699999999999998,INDIA,Emerging Asia (ex-China),3.0
1957,206670742,31.10.2011,0.8290000000000001,U.S.A.,US,4.0
1958,188703124648158,31.03.2012,0.34600000000000003,CHINA,China,3.0
1959,186614022288995,31.03.2012,0.586,CHINA,China,3.0
1960,188703129863464,30.11.2011,0.9990000000000001,RUSSIA,World,2.0
1961,187875659113037,31.10.2011,0.34299999999999997,U.S.A.,US,4.0
1962,206670715,28.02.2013,0.1975,CHINA,China,2.0
1963,1477794168859,28.02.2013,0.1796,CHINA,China,2.0
1964,206670694,28.02.2013,0.633,U.S.A.,US,3.0
1965,188703120510450,28.02.2013,0.9755,CHINA,China,2.0
1966,192290937586348,28.02.2013,0.4646,U.S.A.,US,3.0
1967,269297001426,28.02.2013,0.9094,U.S.A.,US,3.0
1968,187875659113037,31.12.2011,0.332,U.S.A.,US,4.0
1969,188703116701652,30.11.2011,1.0,INDIA,Emerging Asia (ex-China),3.0
1970,186494805556422,31.12.2011,0.127,FRANCE,Eurozone,4.0
1971,218465821,31.10.2019,0.1857,SWITZERLAND,Switzerland,2.0
1972,369592842106,30.11.2011,0.536,U.S.A.,US,3.0
1973,189395860675734,31.12.2011,0.062,KOREA (REP.),Emerging Asia (ex-China),3.0
1974,206670764,30.11.2011,0.665,RUSSIA,World,2.0
1975,1461078666,30.11.2011,0.285,UNITED KINGDOM,UK,3.0
1976,206670770,30.11.2011,0.287,CHINA,China,3.0
1977,108218596431,31.05.2013,0.1656,ITALY,Eurozone,3.0
1978,38326395382,31.05.2013,0.5061,U.S.A.,US,3.0
1979,1451747082532,31.05.2013,0.5061,U.S.A.,US,3.0
1980,206670722,31.05.2013,0.2118,FRANCE,Eurozone,3.0
1981,108219608754,31.05.2013,0.2118,FRANCE,Eurozone,3.0
1982,269289662016,31.03.2013,0.3962,UNITED KINGDOM,UK,2.0
1983,438677131,31.03.2013,0.4802,U.S.A.,US,3.0
1984,188703129863464,31.03.2013,0.9998,RUSSIA,World,3.0
1985,188703112484212,31.03.2013,0.5743,BRAZIL,Latin America,1.0
