,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU
2075,55902523917,30.04.2012,0.168,CHINA,China
2076,269297001426,30.04.2012,0.904,U.S.A.,US
2077,52079200642,30.04.2012,0.526,U.S.A.,US
2078,186759829869822,30.04.2012,0.436,U.S.A.,US
2079,117163705630,30.04.2012,0.51,U.S.A.,US
2080,638750702637,30.04.2012,0.9520000000000001,RUSSIA,World
2081,182009288255,30.04.2012,0.313,FRANCE,Eurozone
2082,105401395916,30.04.2012,0.375,U.S.A.,US
2083,254149614892,30.04.2013,0.479,U.S.A.,US
2084,1134069654772,30.09.2011,0.469,U.S.A.,US
2085,656760542396,30.09.2011,0.47200000000000003,U.S.A.,US
2086,207934051132,31.10.2011,0.7190000000000001,U.S.A.,US
2087,188703102004066,30.09.2011,0.997,BRAZIL,Latin America
2088,187875659113037,30.09.2011,0.312,U.S.A.,US
2089,188703129863464,30.09.2011,1.0,RUSSIA,World
2090,186759829869822,30.09.2011,0.391,U.S.A.,US
2091,117163705630,30.09.2011,0.455,U.S.A.,US
2092,92221420384,30.09.2011,0.36200000000000004,U.S.A.,US
2093,63446153971,30.09.2011,0.225,INDIA,Emerging Asia (ex-China)
2094,206670742,30.09.2011,0.8440000000000001,U.S.A.,US
2095,186711785308213,30.11.2019,0.5636,U.S.A.,US
2096,573917296406,30.11.2012,0.5567,BRAZIL,Latin America
2097,38326395382,30.11.2012,0.6131,U.S.A.,US
2098,438677131,31.08.2019,0.6247,U.S.A.,US
2099,205119942384,31.08.2012,0.7240000000000001,FRANCE,Eurozone
2100,28283084613,31.01.2012,0.507,CHINA,China
2101,301519260,30.09.2012,0.3122,JAPAN,Japan
2102,103848517578,31.08.2012,0.402,U.S.A.,US
2103,206670742,31.08.2012,0.863,U.S.A.,US
2104,460145818838,30.09.2012,0.3122,JAPAN,Japan
2105,269286596864,31.08.2012,0.907,U.S.A.,US
2106,192290937586348,31.08.2019,0.6118,U.S.A.,US
2107,92221420384,31.08.2019,0.6357,U.S.A.,US
2108,206670698,31.03.2013,0.1606,FRANCE,Eurozone
2109,1320217138160,31.08.2012,0.9009999999999999,U.S.A.,US
2110,656760542396,31.08.2012,0.507,U.S.A.,US
2111,275505523,31.08.2019,0.2513,UNITED KINGDOM,UK
2112,186759829869822,31.05.2012,0.45399999999999996,U.S.A.,US
2113,117163705630,31.05.2012,0.535,U.S.A.,US
2114,638750702637,31.05.2012,0.9359999999999999,RUSSIA,World
2115,269289662016,31.05.2012,0.418,UNITED KINGDOM,UK
2116,206670693,31.05.2012,0.062,BRAZIL,Latin America
2117,880886802006,31.05.2012,0.379,U.S.A.,US
2118,207934051132,31.05.2012,0.612,U.S.A.,US
2119,880923451687,31.12.2019,0.4175,GERMANY,Eurozone
2120,188703120510450,31.01.2013,0.9666,CHINA,China
2121,369592842106,31.01.2013,0.5393,U.S.A.,US
2122,613346505712,31.01.2013,0.6225,AUSTRALIA,Australia
2123,206670742,31.01.2013,0.8336,U.S.A.,US
2124,186759829869822,31.01.2013,0.4632,U.S.A.,US
2125,206670716,31.01.2013,0.3328,UNITED KINGDOM,UK
2126,206670723,31.01.2013,0.4454,U.S.A.,US
2127,206670727,31.01.2013,0.304,UNITED KINGDOM,UK
2128,188703112484212,31.01.2013,0.5741,BRAZIL,Latin America
2129,413976258580,31.01.2013,0.54,U.S.A.,US
2130,105401395916,31.01.2013,0.4341,U.S.A.,US
2131,189669356346606,31.01.2013,0.1674,BRAZIL,Latin America
2132,1134069654772,31.01.2013,0.511,U.S.A.,US
2133,182009288255,31.01.2013,0.3156,FRANCE,Eurozone
2134,1489765858,31.03.2012,0.628,AUSTRALIA,Australia
2135,188703116701652,29.02.2012,0.996,INDIA,Emerging Asia (ex-China)
2136,206670716,28.02.2013,0.3334,UNITED KINGDOM,UK
2137,413976258580,28.02.2013,0.5461,U.S.A.,US
2138,188703102004066,28.02.2013,1.0017,BRAZIL,Latin America
2139,272675524722,28.02.2013,0.5241,U.S.A.,US
2140,613346505712,28.02.2013,0.6329,AUSTRALIA,Australia
2141,269287883541,28.02.2013,1.0012,JAPAN,Japan
2142,437983596250,28.02.2013,0.9665,SWITZERLAND,Switzerland
2143,1134069654772,28.02.2013,0.5223,U.S.A.,US
2144,656760542396,28.02.2013,0.5031,U.S.A.,US
2145,28283084613,28.02.2013,0.4165,CHINA,China
2146,638750702637,28.02.2013,0.9617,RUSSIA,World
2147,186711785308213,28.02.2013,0.3508,U.S.A.,US
2148,189669356346606,28.02.2013,0.1758,BRAZIL,Latin America
2149,52079200642,28.02.2013,0.5239,U.S.A.,US
2150,1489765858,28.02.2013,0.6416,AUSTRALIA,Australia
2151,207934051132,28.02.2013,0.633,U.S.A.,US
2152,206670764,28.02.2013,0.6256,RUSSIA,World
2153,206670693,30.09.2011,0.067,BRAZIL,Latin America
2154,108218596431,31.03.2013,0.1606,FRANCE,Eurozone
2155,413976258580,31.08.2012,0.555,U.S.A.,US
2156,206670723,30.04.2013,0.441,U.S.A.,US
2157,269286596864,31.12.2011,0.903,U.S.A.,US
2158,195257191859232,31.08.2019,0.9975,JAPAN,Japan
2159,28283084613,31.08.2019,0.6366,CHINA,China
2160,1320217138160,31.12.2011,0.912,U.S.A.,US
2161,206670770,31.08.2019,0.4056,CHINA,China
2162,613346505712,29.02.2012,0.633,AUSTRALIA,Australia
2163,413976258580,31.12.2011,0.541,U.S.A.,US
2164,188703102004066,31.12.2011,0.998,BRAZIL,Latin America
2165,188703124648158,31.12.2011,0.374,CHINA,China
2166,206670764,31.08.2019,0.6342,RUSSIA,World
2167,206670715,31.08.2019,0.3109,CHINA,China
2168,188703112484212,31.12.2011,0.647,BRAZIL,Latin America
2169,638750702637,31.08.2019,0.9918,RUSSIA,World
2170,189669356346606,31.08.2019,0.2239,CHINA,China
2171,275505523,31.12.2011,0.271,UNITED KINGDOM,UK
2172,254149308420,30.06.2012,0.195,BRAZIL,Latin America
2173,206670805,30.06.2012,0.243,FRANCE,Eurozone
2174,613346505712,31.01.2012,0.644,AUSTRALIA,Australia
2175,108218596431,30.04.2012,0.18899999999999997,FRANCE,Eurozone
2176,272675524722,31.01.2012,0.363,U.S.A.,US
2177,269289662016,31.03.2012,0.395,UNITED KINGDOM,UK
